url,occupation_name,2019 Median Pay,Typical Entry-Level Education,Work Experience in a Related Occupation,On-the-job Training,"Number of Jobs, 2019","Job Outlook, 2019-29","Employment Change, 2019-29"
https://www.bls.gov/ooh/production/dental-and-ophthalmic-laboratory-technicians-and-medical-appliance-technicians.htm,     Dental laboratory technicians,"$37,370 per year  $17.96 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,81200,9% (Much faster than average),7400
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Engineering teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/transportation-and-material-moving/airline-and-commercial-pilots.htm,     Commercial pilots,"$121,430 per year",See How to Become One,See How to Become One,Moderate-term on-the-job training,127100,5% (Faster than average),6100
https://www.bls.gov/ooh/education-training-and-library/postsecondary-teachers.htm,"     Psychology teachers, postsecondary","$79,540 per year",See How to Become One,See How to Become One,None,1329900,9% (Much faster than average),121500
https://www.bls.gov/ooh/healthcare/physical-therapist-assistants-and-aides.htm,     Physical therapist aides,"$48,990 per year  $23.55 per hour",See How to Become One,None,See How to Become One,149300,29% (Much faster than average),43000
https://www.bls.gov/ooh/production/metal-and-plastic-machine-workers.htm,     Computer numerically controlled tool programmers,"$36,990 per year  $17.78 per hour",See How to Become One,None,Moderate-term on-the-job training,1109400,-7% (Decline),-75800
https://www.bls.gov/ooh/life-physical-and-social-science/environmental-science-and-protection-technicians.htm,"     Environmental science and protection technicians, including health","$46,540 per year  $22.38 per hour",Associate's degree,None,None,34700,8% (Much faster than average),2900
https://www.bls.gov/ooh/protective-service/private-detectives-and-investigators.htm,     Private detectives and investigators,"$50,510 per year  $24.28 per hour",High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training,36200,8% (Much faster than average),3000
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#252059,"     Special education teachers, all other",,,,,,,
https://www.bls.gov/ooh/building-and-grounds-cleaning/grounds-maintenance-workers.htm,"     Pesticide handlers, sprayers, and applicators, vegetation","$30,890 per year  $14.85 per hour",See How to Become One,None,See How to Become One,1305300,10% (Much faster than average),130800
https://www.bls.gov/ooh/construction-and-extraction/hazardous-materials-removal-workers.htm,     Hazardous materials removal workers,"$43,900 per year  $21.11 per hour",High school diploma or equivalent,None,Moderate-term on-the-job training,45300,8% (Much faster than average),3700
https://www.bls.gov/ooh/about/data-for-occupations-not-covered-in-detail.htm#119039,"     Education administrators, all other",,,,,,,
https://www.bls.gov/ooh/entertainment-and-sports/umpires-referees-and-other-sports-officials.htm,"     Umpires, referees, and other sports officials","$28,550 per year",High school diploma or equivalent,None,Moderate-term on-the-job training,22800,8% (Much faster than average),1800
https://www.bls.gov/ooh/education-training-and-library/special-education-teachers.htm,"     Special education teachers, preschool","$61,030 per year",Bachelor's degree,None,None,443700,3% (As fast as average),14300
